Date,DAY_OF_THE_WEEK,APP,TIMES,CATEGORY
08/13,Sunday,NETFLIX ,97,Entertainment
08/13,Sunday,MESSAGES,52,Other
08/13,Sunday,SPOTIFY,29,Entertainment
08/13,Sunday,SAFARI,17,Entertainment
08/13,Sunday,MAPS,13,Travel
08/14,Monday,YOUTUBE,140,Entertainment
08/14,Monday,MESSAGES,57,Other
08/14,Monday,SAFARI,50,Entertainment
08/14,Monday,INSTAGRAM,28,Social Media
08/14,Monday,NETFLIX ,23,Entertainment
08/15,Tuesday,NETFLIX ,122,Entertainment
08/15,Tuesday,TIKTOK,87,Social Media
08/15,Tuesday,SAFARI,64,Entertainment
08/15,Tuesday,MESSAGES,46,Other
08/15,Tuesday,CLOCK,38,Other
08/16,Wednesday,MESSAGES,81,Other
08/16,Wednesday,CHROME,56,Other
08/16,Wednesday,INSTAGRAM,40,Social Media
08/16,Wednesday,TIKTOK,37,Social Media
08/16,Wednesday,SAFARI,24,Entertainment
08/16,Wednesday,SPOTIFY,16,Entertainment
08/17,Thursday,MESSAGES,81,Other
08/17,Thursday,CHROME,56,Education
08/17,Thursday,INSTAGRAM,40,Social Media
08/17,Thursday,TIKTOK,37,Social Media
08/17,Thursday,SAFARI,24,Social Media
08/18,Friday,MESSAGES,103,Other
08/18,Friday,INSTAGRAM,39,Social Media
08/18,Friday,TIKTOK,57,Entertainment
08/18,Friday,GMAIL,24,Social Media
08/18,Friday,SAFARI,18,Entertainment
08/19,Saturday,TIKTOK,146,Social Media
08/19,Saturday,MAX,122,Entertainment
08/19,Saturday,MESSAGES,72,Other
08/19,Saturday,SPOTIFY,42,Entertainment
08/19,Saturday,NETFLIX ,25,Entertainment
